"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"17","Join #HoCoPolice this Thurs, 12/7 #HoCoMd for its final @CoffeewithaCop of 2017. Come meet face-to-face w/ officers… https://t.co/O1B5gzBtyb",FALSE,8,NA,2017-12-05 13:34:52,TRUE,NA,"938038966271533056",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",7,FALSE,FALSE,NA,NA
"18","@HoCoGov constr proj to restore and stabilize approx 2,450 linear feet of stream on The Timbers at Troy golf course… https://t.co/CqHUZMLoLP",FALSE,0,"HoCoGov",2017-12-04 21:30:02,TRUE,NA,"937796161490079745","161698693","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"19","FYI #HoCoMD parents, tomorrow is the last day to sign your teen up for @HoCoRec Teen Lock-In at the Gary J. Arthur… https://t.co/L9telMaMko",FALSE,2,NA,2017-12-04 20:33:21,TRUE,NA,"937781892983779329",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"20","TRAFFIC ALERT #HoCoMD. https://t.co/nzVtRO9GGS",FALSE,1,NA,2017-12-04 19:37:58,FALSE,NA,"937767959044509697",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
"21","FYI #HoCoMD. Christmas in the Park is tomorrow, December 5, 6 pm at Centennial Park. Should it rain, follow… https://t.co/MsG3LyMcQN",FALSE,2,NA,2017-12-04 18:16:10,TRUE,NA,"937747372062502913",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
"22","#HoCoMD residents who have family member w/ a disability, #HoCoPolice is expanding its program were you can volunta… https://t.co/IjsN79c9VN",FALSE,1,NA,2017-12-04 16:01:00,TRUE,NA,"937713357058117632",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",1,FALSE,FALSE,NA,NA
"23","Here's what @HoCoGov DPW maintenance projects are going on this week, 12/4 thru 12/8, in #HoCoMD wx permitting: https://t.co/gyHRfSSRax.",FALSE,0,NA,2017-12-04 13:34:13,FALSE,NA,"937676416874893313",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
"24","#Holidaysafety reminder #HoCoMD from #HoCoPolice. https://t.co/Hla5P541x9",FALSE,0,NA,2017-12-01 19:18:14,FALSE,NA,"936675826392846336",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",0,FALSE,FALSE,NA,NA
"25","To commemorate &amp; honor #WomensHistoryMonth (March), @HoCoGov Commission for Women is seeking submissions for its an… https://t.co/abNoXWITQt",FALSE,6,NA,2017-12-01 15:12:11,TRUE,NA,"936613907002806273",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",8,FALSE,FALSE,NA,NA
"26","The new @HCDFRS Elkridge Fire Station is coming along! A true collaboration between @HoCoGov &amp; the community, we ex… https://t.co/2c6kp0FVIf",FALSE,8,NA,2017-11-30 19:37:26,TRUE,NA,"936318270029946880",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HoCoGov",2,FALSE,FALSE,NA,NA
