"","originalPlace","interpretedPlace","longitude","latitude","xmin","xmax","ymin","ymax","uncertainty"
"104","Washington, DC","Washington, DC, USA",-77.0368707,38.9071923,-77.119759,-76.909393,38.7916449,38.995548,14708
"105","Elicott City MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"106","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"107","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"108","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"109","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"110","Columbia, MD.","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"111","Columbia, MD ","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"112","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"113","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"114","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"115","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"116","Highland, MD","Highland, MD, USA",-76.9577073,39.1791249,-76.9808948,-76.9378299,39.1667969,39.1937399,2363
"117","Elkridge, Maryland","Elkridge, MD, USA",-76.7625073,39.1978788,-76.796716,-76.6973248,39.1798139,39.225603,3572
"118","Highland, Maryland","Highland, MD, USA",-76.9577073,39.1791249,-76.9808948,-76.9378299,39.1667969,39.1937399,2363
"119","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"120","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"121","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"122","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"123","Frederick Rd, EllicottCity, MD","Frederick Rd, Ellicott City, MD, USA",-76.8647197,39.2798973,-76.938972,-76.7854052,39.26262,39.3001209,6689
"124","Frederick Rd, EllicottCity, MD","Frederick Rd, Ellicott City, MD, USA",-76.8647197,39.2798973,-76.938972,-76.7854052,39.26262,39.3001209,6689
"125","North Laurel, MD","North Laurel, MD 20723, USA",-76.8705293,39.1389968,-76.9189239,-76.818226,39.10313,39.168562,5587
"126","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"127","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"128","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"129","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"130","Washington, DC","Washington, DC, USA",-77.0368707,38.9071923,-77.119759,-76.909393,38.7916449,38.995548,14708
"131","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"132","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"133","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"134","Howard County, MD, USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"135","Howard County, MD, USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"136","Howard County, MD, USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"137","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"138","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"139","Columbia, md","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"140","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"141","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"142","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"143","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"144","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"145","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"146","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"147","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"148","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"149","North Laurel, MD","North Laurel, MD 20723, USA",-76.8705293,39.1389968,-76.9189239,-76.818226,39.10313,39.168562,5587
"150","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"151","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"152","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"153","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"154","Columbia, MD ","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"155","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"156","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"157","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"158","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"159","Ellicott City","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"160","Ellicott City","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"161","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"162","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"163","Howard County, Maryland USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"164","Howard County, Maryland USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"165","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"166","Frederick Rd, EllicottCity, MD","Frederick Rd, Ellicott City, MD, USA",-76.8647197,39.2798973,-76.938972,-76.7854052,39.26262,39.3001209,6689
"167","Frederick Rd, EllicottCity, MD","Frederick Rd, Ellicott City, MD, USA",-76.8647197,39.2798973,-76.938972,-76.7854052,39.26262,39.3001209,6689
"168","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"169","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"170","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"171","Frederick Rd, EllicottCity, MD","Frederick Rd, Ellicott City, MD, USA",-76.8647197,39.2798973,-76.938972,-76.7854052,39.26262,39.3001209,6689
"172","Frederick Rd, EllicottCity, MD","Frederick Rd, Ellicott City, MD, USA",-76.8647197,39.2798973,-76.938972,-76.7854052,39.26262,39.3001209,6689
"173","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"174","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"175","Howard County, Maryland USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"176","Howard County, Maryland USA","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"177","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"178","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"179","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"180","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"181","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"182","Elkridge, MD","Elkridge, MD, USA",-76.7625073,39.1978788,-76.796716,-76.6973248,39.1798139,39.225603,3572
"183","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"184","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"185","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"186","Howard County, Maryland","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"187","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"188","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"189","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"190","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"191","West Friendship, MD","West Friendship, MD, USA",-76.9530598,39.3048811,-76.9791781,-76.9084755,39.2782177,39.33471,3720
"192","West Friendship, MD","West Friendship, MD, USA",-76.9530598,39.3048811,-76.9791781,-76.9084755,39.2782177,39.33471,3720
"193","West Friendship, MD","West Friendship, MD, USA",-76.9530598,39.3048811,-76.9791781,-76.9084755,39.2782177,39.33471,3720
"194","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"195","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"196","North Laurel, MD","North Laurel, MD 20723, USA",-76.8705293,39.1389968,-76.9189239,-76.818226,39.10313,39.168562,5587
"197","6480 Dobbin Center Way","6480 Dobbin Center Way, Columbia, MD 21045, USA",-76.8197984,39.1983812,-76.8211473,-76.8184494,39.1970322,39.1997302,190
"198","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"199","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"200","Columbia, Md.","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"201","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"202","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"203","Howard County, MD","Howard County, MD, USA",-76.964306,39.2873463,-77.1871129,-76.6973248,39.10313,39.369162,24748
"204","Ellicott City, MD","Ellicott City, MD, USA",-76.7983067,39.2673283,-76.89448,-76.76383,39.214805,39.3240909,6968
"205","Columbia, MD","Columbia, MD, USA",-76.8610462,39.2037144,-76.9432,-76.786965,39.1476489,39.2400389,7562
"206","Highland, MD","Highland, MD, USA",-76.9577073,39.1791249,-76.9808948,-76.9378299,39.1667969,39.1937399,2363
"207","Highland, Maryland","Highland, MD, USA",-76.9577073,39.1791249,-76.9808948,-76.9378299,39.1667969,39.1937399,2363
